x_position,y_position
3.915399998135398,1.1544663081876931
4.098877675750289,0.8329419223630057
4.331670400188302,0.5838368298706891
4.54376304916797,0.2615017124226319
4.744785270219487,-0.0528897325800814
4.958441659753098,-0.3624619064833296
5.176283832039308,-0.6684030547737643
5.392364978502318,-0.975777941162473
5.611415779994991,-1.2810159887744215
5.8248386223341555,-1.5902080650534314
6.043120605988314,-1.8959760198382751
6.2669045989182575,-2.19775957311516
6.489611427904968,-2.500352844648744
6.706733417199283,-2.8069286902429518
6.9303794663562295,-3.108995444713707
7.127504937250335,-3.4286444972480643
7.336197562336618,-3.740943027739665
7.5395726252216475,-4.056948223763859
7.768430115312666,-4.354901754092492
7.966670252123873,-4.673701068610704
8.168511626141367,-4.990646673968049
8.386960560791431,-5.296394371781863
8.586540177021918,-5.614619252581843
8.795864887131273,-5.926533348500737
9.005688897163143,-6.238211712892498
9.222682915796447,-6.544880546450844
9.435289180082414,-6.8546134894847786
9.646175573605209,-7.165555416838916
9.862908816873036,-7.472434545675943
10.084801327755708,-7.775629621663486
10.300387637342496,-8.083300446373185
10.520220279581952,-8.387973319184477
10.735441348829683,-8.695845824748453
10.94903938394986,-9.004941637759881
11.176612430813929,-9.3039388358293
11.40064087705177,-9.605344214311101
11.611184984980529,-9.916592559523853
11.826331998897068,-10.22461732766871
12.048620322231265,-10.527443562042613
12.284511439979958,-10.819873435099495
12.509603404153964,-11.120683372346436
12.738404934143412,-11.418700277560193
12.950445622062981,-11.72888925758725
13.183088421975622,-12.023794191591303
13.406577622038883,-12.325600660397384
13.624690408579056,-12.631809241987465
13.868588544853838,-12.91754315343298
14.10388881085865,-13.209811094591457
14.328039465325345,-13.511141951944
14.573020252859488,-13.795986175160854
14.794845840254546,-14.099333809756782
15.026706193165937,-14.394956428327001
15.26247801857533,-14.687477854256963
15.48655162564224,-14.98908510531407
15.72928595730971,-15.275727007187253
15.97805945767875,-15.557278757112595
16.228349832623696,-15.837764034038473
16.458721277071177,-16.13415274858149
16.682229217757712,-16.435899081495762
16.922247895893207,-16.725256924441084
17.16155468597386,-17.014923554355992
17.43626288862464,-17.27134413132356
17.682858450156306,-17.55363681758003
17.90368510770834,-17.858690402653906
18.138309024113216,-18.15156498760708
18.39137639898033,-18.429486882625948
18.644753008383905,-18.706859167875063
18.89452442686381,-18.98747983951155
19.136018458858906,-19.275515937075852
19.398420784944943,-19.544021607316207
19.66028206964767,-19.813453506093015
19.910552285713695,-20.093692301258113
20.154824707941028,-20.37913791356037
20.403425739381664,-20.66080574677439
20.662281740020212,-20.933156235268658
20.916696292553546,-21.20950916676257
21.168610969860698,-21.488221926099804
21.43076733053884,-21.757383028332722
21.695695449390477,-22.02376248029035
21.96046640152655,-22.29031154802271
22.220338928822116,-22.56163994236324
22.472317920378348,-22.840549765811645
22.75516894802606,-23.08842618849312
23.00288211607508,-23.368899138479755
23.242698815754373,-23.658394894803827
23.49901792580099,-23.933153027324085
23.74938086595518,-24.213250903825916
24.00573105331988,-24.48791252023711
24.249720758768614,-24.773629795754452
24.484989841149005,-25.066564668298067
24.723202118060893,-25.356998168312206
24.956120048357036,-25.65209602547569
25.15861543985205,-25.968521852741503
25.369887369546444,-26.27840324280597
25.60058592717225,-26.575188647268043
25.811852342827095,-26.885974265843913
26.028210419050403,-27.193014877528647
26.253194588437434,-27.493907348714615
26.473555077210918,-27.797927093665983
26.69740064360667,-28.0682226405479
