x,y,z,heading,time
378620.18322427187,3853366.6120329406,0,0,0
378620.18322427187,3853366.6120329406,0,0,0
378620.18322427187,3853366.6120329406,0,0,0
378620.16693676455,3853366.618896479,0,0,0
378620.172669465,3853366.6185083813,0,0,0
378620.172669465,3853366.6185083813,0,0,0
378620.17154986615,3853366.617829906,0,0,0
378620.17154986615,3853366.617829906,0,0,0
378620.17907008773,3853366.6139520127,0,0,0
378620.17907008773,3853366.6139520127,0,0,0
378620.17195838445,3853366.6135375295,0,0,0
378620.17195838445,3853366.6135375295,0,0,0
378620.183546557,3853366.61287822,0,0,0
378620.183546557,3853366.61287822,0,0,0
378620.1834061029,3853366.608761642,0,0,0
378620.1834061029,3853366.608761642,0,0,0
378620.1744150756,3853366.6112597934,0,0,0
378620.1744150756,3853366.6112597934,0,0,0
378620.17154257285,3853366.6173123815,0,0,0
378620.17154257285,3853366.6173123815,0,0,0
378620.17237283534,3853366.6142833075,0,0,0
378620.17237283534,3853366.6142833075,0,0,0
378620.1979673253,3853366.5959134796,0,0,0
378620.1979673253,3853366.5959134796,0,0,0
378620.1859702719,3853366.598334356,0,0,0
378620.1859702719,3853366.598334356,0,0,0
378620.19394143537,3853366.5920315348,0,0,0
378620.19394143537,3853366.5920315348,0,0,0
378620.19714805635,3853366.595315611,0,0,0
378620.19714805635,3853366.595315611,0,0,0
378620.19548389094,3853366.5979151544,0,0,0
378620.19548389094,3853366.5979151544,0,0,0
378620.1918748527,3853366.5992884473,0,0,0
378620.1918748527,3853366.5992884473,0,0,0
378620.1833850722,3853366.6092418847,0,0,0
378620.1833850722,3853366.6092418847,0,0,0
378620.1975665303,3853366.609415042,0,0,0
378620.1975665303,3853366.609415042,0,0,0
378620.2170642448,3853366.6256787963,0,0,0
378620.2170642448,3853366.6256787963,0,0,0
378620.2584844057,3853366.626708474,0,0,0
378620.2584844057,3853366.626708474,0,0,0
378620.29668024863,3853366.640967057,0,0,0
378620.29668024863,3853366.640967057,0,0,0
378620.3325271715,3853366.6741357325,0,0,0
378620.3325271715,3853366.6741357325,0,0,0
378620.40094712505,3853366.6840222883,0,0,0
378620.40094712505,3853366.6840222883,0,0,0
378620.46059052204,3853366.698704486,0,0,0
378620.46059052204,3853366.698704486,0,0,0
378620.53612629586,3853366.704876053,0,0,0
378620.53612629586,3853366.704876053,0,0,0
378620.578949401,3853366.7447156506,0,0,0
378620.578949401,3853366.7447156506,0,0,0
378620.6325097137,3853366.7739633354,0,0,0
378620.6325097137,3853366.7739633354,0,0,0
378620.7171619336,3853366.7939093607,0,0,0
378620.7171619336,3853366.7939093607,0,0,0
378620.77040375874,3853366.817092411,0,0,0
378620.77040375874,3853366.817092411,0,0,0
378620.86092697975,3853366.8251279434,0,0,0
378620.86092697975,3853366.8251279434,0,0,0
378620.89434342587,3853366.8587151775,0,0,0
378620.89434342587,3853366.8587151775,0,0,0
378620.95319134276,3853366.887165563,0,0,0
378620.95319134276,3853366.887165563,0,0,0
378621.03682759224,3853366.906489846,0,0,0
378621.03682759224,3853366.906489846,0,0,0
378621.1049130426,3853366.9285699977,0,0,0
378621.1049130426,3853366.9285699977,0,0,0
378621.18341064354,3853366.950100003,0,0,0
378621.18341064354,3853366.950100003,0,0,0
378621.2484781677,3853366.975724096,0,0,0
378621.2484781677,3853366.975724096,0,0,0
378621.33015885414,3853366.992889149,0,0,0
378621.33015885414,3853366.992889149,0,0,0
378621.3963120025,3853367.026113841,0,0,0
378621.3963120025,3853367.026113841,0,0,0
378621.4713576094,3853367.053229498,0,0,0
378621.4713576094,3853367.053229498,0,0,0
378621.5404807967,3853367.0787293245,0,0,0
378621.5404807967,3853367.0787293245,0,0,0
378621.6131387435,3853367.120828859,0,0,0
378621.6131387435,3853367.120828859,0,0,0
378621.69947012945,3853367.1395195476,0,0,0
378621.69947012945,3853367.1395195476,0,0,0
378621.764082304,3853367.177735446,0,0,0
378621.764082304,3853367.177735446,0,0,0
378621.84696011175,3853367.209439216,0,0,0
378621.84696011175,3853367.209439216,0,0,0
378621.9132509447,3853367.2350421553,0,0,0
378621.9132509447,3853367.2350421553,0,0,0
378621.9954763584,3853367.2590720733,0,0,0
378621.9954763584,3853367.2590720733,0,0,0
378622.07844314486,3853367.2794157756,0,0,0
378622.07844314486,3853367.2794157756,0,0,0
378622.1494589207,3853367.3132149694,0,0,0
378622.1494589207,3853367.3132149694,0,0,0
378622.24207979685,3853367.339180624,0,0,0
378622.24207979685,3853367.339180624,0,0,0
378622.3142861572,3853367.3561229417,0,0,0
378622.3142861572,3853367.3561229417,0,0,0
378622.395191796,3853367.4008343196,0,0,0
378622.395191796,3853367.4008343196,0,0,0
378622.4645614061,3853367.429103184,0,0,0
378622.4645614061,3853367.429103184,0,0,0
378622.54938140936,3853367.4608435887,0,0,0
378622.54938140936,3853367.4608435887,0,0,0
378622.6259000486,3853367.4880939014,0,0,0
378622.6259000486,3853367.4880939014,0,0,0
378622.70145890774,3853367.51103174,0,0,0
378622.70145890774,3853367.51103174,0,0,0
378622.779825453,3853367.541224751,0,0,0
378622.779825453,3853367.541224751,0,0,0
378622.85605844215,3853367.56084631,0,0,0
378622.85605844215,3853367.56084631,0,0,0
378622.94564131845,3853367.6006428585,0,0,0
378622.94564131845,3853367.6006428585,0,0,0
378623.0456242489,3853367.6409962317,0,0,0
378623.0456242489,3853367.6409962317,0,0,0
378623.13856956665,3853367.6727082715,0,0,0
378623.13856956665,3853367.6727082715,0,0,0
378623.2303919054,3853367.7060786383,0,0,0
378623.2303919054,3853367.7060786383,0,0,0
378623.33811539586,3853367.7347172415,0,0,0
378623.33811539586,3853367.7347172415,0,0,0
378623.414585356,3853367.794266877,0,0,0
